code,const,m1,m2,m3,m4,m5,m6,m7,m8,m9,m10,m11,m12
CP,X % Coal production,,,,,,,,,,,,
NP,X % Natural gas production,,,,,,,,,,,,
% Natural gas demand (MMcf),,,,,,,,,,,,,
NTAL,,25440,24743,22042,17160,14682,12865,12700,12915,12808,13220,16179,20628
NTAK,,5955,5191,4370,3377,2575,2151,1975,1829,2441,4029,4924,5636
NTAZ,,15576,13589,9987,6804,5865,5157,4302,4107,4375,5058,6513,9820
NTAR,,20663,20166,16703,13182,10851,9307,8888,8869,9336,10090,11909,17817
NTCA,,180620,161363,136934,117132,114815,101651,101167,103156,104417,113157,114721,155223
NTCO,,49905,40188,34688,25126,17147,12752,13633,13585,13469,22252,30075,46635
NTCT,,15164,14660,13838,9098,6094,4343,4050,3951,4113,5652,9040,13140
NTDE,,4745,4648,4028,3142,2626,1949,1770,1924,1586,2554,3482,4506
NTDC,,5010,4524,3522,2139,1522,1291,1095,1126,1190,2022,3480,4714
NTFL,,13864,13134,13437,12884,11514,10347,9769,9555,9136,9362,9866,11901
NTGA,,48637,38190,31456,23111,19006,17298,17739,17688,17602,22334,32248,36357
NTHI,,245,237,235,238,225,233,238,211,211,206,204,216
NTID,,9502,9103,7127,6297,4515,3464,2880,2697,3151,5024,6042,9255
NTIL,,141845,147118,124155,85783,52389,37123,34530,33420,33172,50658,76936,135189
NTIN,,73918,70065,55430,36259,30631,26497,25300,25711,23597,32113,45394,64854
NTIA,,39922,38424,31993,22822,17745,14301,14052,14112,14503,18868,26211,35763
NTKS,,31586,28405,24273,17726,13375,11816,11981,13667,11266,11493,15812,26116
NTKY,,30025,25466,22466,15362,11680,9898,9826,9804,9639,12055,17923,24102
NTLA,,85229,74421,77149,70338,70706,65001,72623,69802,54723,71141,74248,67411
NTME,,2537,2473,2539,1999,1730,1443,1496,1485,1626,1732,2116,2480
NTMD,,27490,25356,19614,11753,8975,6708,6141,6181,6483,11341,18011,24689
NTMA,,35410,34156,30306,21806,12554,8329,6872,6773,6755,8986,16264,28543
NTMI,,99448,100364,93035,61352,36257,24234,20700,18790,19700,31571,54523,90807
NTMN,,55793,51704,44136,30320,19726,13881,13014,13006,13560,19633,32646,51322
NTMS,,17116,15681,13799,11441,11465,10883,10709,10033,9790,10335,12280,15333
NTMO,,40330,41105,33466,21140,13039,9285,8516,8245,8510,10071,18094,33974
NTMT,,8956,8294,7166,5729,4396,3341,2570,2405,2862,4212,5281,8511
NTNE,,19425,19978,16802,12666,9232,8454,8102,9020,7581,10134,12242,16397
NTNV,,13739,11635,8524,6293,5013,4333,3812,3642,3848,4707,5718,9208
NTNH,,3261,3124,2917,2168,1529,1044,880,834,790,1096,1676,2508
NTNJ,,68269,65489,53157,28607,22434,15733,16980,17100,16294,29225,46048,63650
NTNM,,12976,12580,9418,6803,4922,3945,3271,3209,3198,3605,5532,8422
NTNY,,111681,111800,101177,65754,43487,33233,28395,28496,29031,41993,68307,100952
NTNC,,29753,24858,19817,14319,10961,9687,9719,9846,10835,15369,22225,24409
NTND,,5112,5733,4681,3819,3047,2477,1366,1853,2084,3928,4387,5369
NTOH,,113227,113275,98987,57936,42465,31639,29520,29232,28705,41486,67874,102087
NTOK,,40767,34396,32938,24563,20236,16944,17115,16859,17273,17549,22493,28472
NTOR,,18900,17977,15413,14362,10799,8492,7435,7413,7600,9255,11066,15569
NTPA,,83786,82559,73159,45769,31728,24626,22003,22001,22383,31880,49783,74305
NTRI,,5185,5564,4928,3961,2590,1625,1344,1543,1179,1629,2277,3486
NTSC,,16230,13728,12193,9535,8106,7491,7444,7445,7228,8532,11349,12028
NTSD,,7021,6619,5585,4762,3806,3208,3021,3220,3329,3666,5150,7108
NTTN,,30901,30593,26044,18202,12366,10748,9850,9718,10475,11341,17548,27363
NTTX,,187184,166082,154123,136289,135178,127526,133472,132965,105262,125013,129421,152631
NTUT,,22475,21468,16327,13202,9982,6831,5368,4958,5088,6381,10039,14580
NTVT,,1199,1216,1137,864,509,381,328,328,357,475,696,1079
NTVA,,32636,27883,20813,15100,11326,11702,10894,9153,7961,13117,21422,27366
NTWA,,29519,28452,23059,21034,16038,12367,9906,9301,10161,13657,16934,26034
NTWV,,11625,11260,9737,5991,4724,3677,3583,3795,3775,5543,8492,10392
NTWI,,57078,53547,44147,27507,18633,12985,13043,13000,14040,21739,35113,54550
NTWY,,8338,7336,6565,5644,4967,4027,3654,3731,3445,4828,5509,7319
% NG Exports to Mexico (MMcf),,,,,,,,,,,,,
NDMX,,39875,37446,31018,28111,25137,30363,30179,34585,26514,28451,25825,27892
% Natural gas storage boundaries (MMcf),,,,,,,,,,,,,
NSAL,,-11818.5,,,,,,,,,,,11818.5
NSAR,,-4588.75,,,,,,,,,,,4588.75
NSCA,,-194841.125,,,,,,,,,,,194841.125
NSCO,,-30787.125,,,,,,,,,,,30787.125
NSIL,,-163545.75,,,,,,,,,,,163545.75
NSIN,,-22166.375,,,,,,,,,,,22166.375
NSIA,,-42446.75,,,,,,,,,,,42446.75
NSKS,,-74464.5,,,,,,,,,,,74464.5
NSKY,,-66888.625,,,,,,,,,,,66888.625
NSLA,,-230746.5,,,,,,,,,,,230746.5
NSMD,,-13767.375,,,,,,,,,,,13767.375
NSMI,,-447529.5,,,,,,,,,,,447529.5
NSMN,,-1790.625,,,,,,,,,,,1790.625
NSMS,,-58801.125,,,,,,,,,,,58801.125
NSMO,,-8802.5,,,,,,,,,,,8802.5
NSMT,,-36211.25,,,,,,,,,,,36211.25
NSNE,,-9474.5,,,,,,,,,,,9474.5
NSNM,,-17192.625,,,,,,,,,,,17192.625
NSNY,,-74186.75,,,,,,,,,,,74186.75
NSOH,,-125166,,,,,,,,,,,125166
NSOK,,-114888.875,,,,,,,,,,,114888.875
NSOR,,-12527.375,,,,,,,,,,,12527.375
NSPA,,-284739.75,,,,,,,,,,,284739.75
NSTN,,-44,,,,,,,,,,,44
NSTX,,-328739.875,,,,,,,,,,,328739.875
NSUT,,-32158.375,,,,,,,,,,,32158.375
NSVA,,-4157.5,,,,,,,,,,,4157.5
NSWA,,-15591.875,,,,,,,,,,,15591.875
NSWV,,-145106.75,,,,,,,,,,,145106.75
NSWY,,-28696.75,,,,,,,,,,,28696.75
EN,X % Nuclear,,,,,,,,,,,,
EH,X % Hydro,,,,,,,,,,,,
EW,X % Inland Wind,,,,,,,,,,,,
EV,X % Solar PV,,,,,,,,,,,,
E1,X % Geo Thermal,,,,,,,,,,,,
EU,X % Solar Thermal,,,,,,,,,,,,
E3,X % OTEC,,,,,,,,,,,,
EY,X % Offshore Wind,,,,,,,,,,,,
E2,X % Tidal Power,,,,,,,,,,,,
EP,X % IPCC,,,,,,,,,,,,
EO,X % Oil,,,,,,,,,,,,
